participant_id,trial_index,song_file,song_title,true_origin,shown_origin,mislabeled,enjoy_before_origin,enjoy_after_origin,musical_quality,surprised_by_origin,origin_changed_experience
37X57U,4,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,AI-generated,False,Very much,Very much,Extremely,Extremely,Slightly
37X57U,5,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,Moderately,Moderately,Quite a lot,Not at all,Not at all
37X57U,6,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,Extremely,Extremely,Extremely,Extremely,Very little
BX57PN,1,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,Slightly,Quite a lot,Moderately,Very much,Moderately
BX57PN,2,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,Very much,Slightly,Quite a lot,Very much,Quite a lot
BX57PN,3,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,Moderately,Moderately,Slightly,Slightly,Moderately
BX57PN,4,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,Quite a lot,Very much,Very much,Slightly,Quite a lot
BX57PN,5,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,Moderately,Moderately,Quite a lot,Moderately,Moderately
BX57PN,6,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,Very much,Very much,Very much,Moderately,Very much
RQLMGW,1,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,Very much,Very much,Very much,Very little,Not at all
RQLMGW,2,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,Quite a lot,Very much,Moderately,Quite a lot,Moderately
RQLMGW,3,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,Extremely,Very much,Extremely,Extremely,Quite a lot
RQLMGW,4,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,Very much,Extremely,Quite a lot,Moderately,Moderately
